序号,标题,链接,创建时间,状态,标签
24,[Bug]: `case when` with subquery may produce unexpected result,https://github.com/oceanbase/oceanbase/issues/1998,2024-06-01T07:33:10Z,OPEN,"['type: bug', 'module: sql', 'status: confirmed']"
25,[Bug]: `left outer join` some `view` may produce unexpected result.,https://github.com/oceanbase/oceanbase/issues/1997,2024-06-01T06:42:57Z,OPEN,"['type: bug', 'module: sql', 'status: confirmed']"
26,"[Bug]: In `WHERE` clause, `ROUND`ing a  `decimal` type parameter produces unexpected results",https://github.com/oceanbase/oceanbase/issues/1996,2024-05-31T10:02:54Z,OPEN,"['type: bug', 'status: confirmed']"
27,[Bug]: `sum` 可能导致错误结果,https://github.com/oceanbase/oceanbase/issues/1964,2024-05-11T08:16:02Z,OPEN,"['type: bug', 'status: confirmed']"
28,[Bug]: `ROUND` 的第二个参数为负数时可能导致错误结果,https://github.com/oceanbase/oceanbase/issues/1963,2024-05-11T07:32:42Z,OPEN,"['type: bug', 'status: confirmed']"
29,[Bug]: 含有 `ORDER BY` 子句时有时没有正确排序,https://github.com/oceanbase/oceanbase/issues/1962,2024-05-11T06:56:21Z,CLOSED,"['type: bug', 'status: confirmed']"
30,[Bug]: `union all` 不同的类型时，`to_base64(NULL)` 有时会得到错误的结果,https://github.com/oceanbase/oceanbase/issues/1953,2024-05-07T06:13:45Z,OPEN,"['type: bug', 'status: confirmed']"
31,[Bug]:  `select count()` 有概率出现预期之外的结果,https://github.com/oceanbase/oceanbase/issues/1952,2024-05-07T04:55:11Z,OPEN,"['type: bug', 'status: confirmed']"
32,[Bug]: 当JDBC预编译参数值全为 null 时必报错：com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure,https://github.com/oceanbase/oceanbase/issues/1948,2024-05-06T10:18:32Z,OPEN,"['type: bug', 'status: confirmed', 'serverity: major']"
33,[Bug]: `truncate`返回了预期之外的类型，导致`select distinct`出现预期之外的结果,https://github.com/oceanbase/oceanbase/issues/1946,2024-05-01T07:30:03Z,CLOSED,"['type: bug', 'status: confirmed']"
34,[Bug]: `stddev_pop()` 返回了预期之外的NULL,https://github.com/oceanbase/oceanbase/issues/1945,2024-05-01T07:09:35Z,CLOSED,"['type: bug', 'status: confirmed']"
35,[Bug]: `stddev_samp()` 返回了预期之外的NULL,https://github.com/oceanbase/oceanbase/issues/1944,2024-05-01T07:05:56Z,CLOSED,"['type: bug', 'module: sql', 'status: confirmed']"
36,[Bug]: The extractvalue function in ob for mysql is not compatible with the native MySQL function,https://github.com/oceanbase/oceanbase/issues/1851,2024-03-12T07:39:23Z,CLOSED,"['type: bug', 'module: sql', 'status: confirmed', 'mysql-compatibility']"
